engine_label,counties,population_2024,pop_weighted_mobility,median_mobility,p25_mobility,p75_mobility,avg_current_income_index,avg_bachelors,avg_engine_share
Knowledge / command,643,248844708.0,2.4026872372608152,-1.1433163430773448,-9.55330985391786,8.121205873969444,106.52346388621051,38.094106085229676,39.60095603210519
Leisure / amenity,4,375034.0,2.25093400560666,2.559225308096295,-5.886919088619578,11.60295264325569,87.06752875436894,25.389131918706035,26.438304178085442
Resource extraction,14,1981936.0,-2.2005238969910015,-4.62366546675743,-15.087894114502992,-0.2288817382511539,89.64640531337267,23.07351357460584,33.45116191009202
Manufacturing,162,18547362.0,-5.26951318986685,-4.353496785471236,-11.678108209536216,2.1341688270949177,81.2061709169872,26.441795091938143,27.8633287589165
Trade / logistics,72,13357744.0,-9.398224164793529,-0.9882714022947426,-14.008886225850379,7.71490594604386,84.76481777514704,28.761659558679966,24.297788294155858
Government,94,12583934.0,-11.697563864562033,-8.060615152939846,-18.33200737263879,0.0927690711441897,81.87565129211383,31.76641566937653,30.515035327810164
Education / health,11,2352024.0,-15.306397256315854,-3.699546912622324,-17.358865648607935,0.5718429069454061,73.83363790084607,27.580556533436734,22.99650876957007
