county_fips,bea_county_name,state_name,population_start,gdp_per_capita_start,gdp_index_start,population_end,gdp_per_capita_end,gdp_index_end,gdp_index_change,gdp_index_ratio,rank_start,rank_end,rank_gain,period
48301,"Loving, TX",Texas,66.0,1993378.7878787878,5401.95972751242,48.0,239213812.5,279222.4233393388,273820.46361182636,51.6890975542166,1.0,1.0,0.0,2001-2024
48173,"Glasscock, TX",Texas,1351.0,156448.55662472243,423.96799216145115,1153.0,4260735.472679965,4973.345274071844,4549.377281910392,11.730473446160401,18.0,2.0,16.0,2001-2024
48311,"McMullen, TX",Texas,819.0,201140.41514041513,545.0807587452477,565.0,3916384.0707964604,4571.400955266211,4026.3201965209632,8.386648917473032,11.0,3.0,8.0,2001-2024
48317,"Martin, TX",Texas,4697.0,51443.04875452416,139.40816432992736,5179.0,3125570.3803823134,3648.3233422317894,3508.915177901862,26.170083795075033,135.0,4.0,131.0,2001-2024
48461,"Upton, TX",Texas,3231.0,180512.22531723924,489.17936591721605,3128.0,2415869.8849104857,2819.925140138952,2330.7457742217357,5.764603612933602,14.0,5.0,9.0,2001-2024
48109,"Culberson, TX",Texas,2865.0,19576.96335078534,53.052620129696905,2254.0,1697970.2750665483,1981.9565183437949,1928.903898214098,37.3583154516881,2051.0,7.0,2044.0,2001-2024
48033,"Borden, TX",Texas,677.0,191268.8330871492,518.3292506912654,557.0,1930423.6983842012,2253.287874564206,1734.9586238729407,4.347213419962558,12.0,6.0,6.0,2001-2024
48383,"Reagan, TX",Texas,3230.0,99022.60061919504,268.3464396787616,3139.0,1639614.8454921949,1913.8411186080082,1645.4946789292467,7.131978799119055,28.0,8.0,20.0,2001-2024
48389,"Reeves, TX",Texas,13022.0,29777.53033328214,80.69566136817488,11956.0,1193735.5302776848,1393.3883002278803,1312.6926388597055,17.26720218414879,803.0,9.0,794.0,2001-2024
32029,"Storey, NV",Nevada,3382.0,46908.3382613838,127.11931907441047,4112.0,673454.766536965,786.0903597357283,658.9710406613178,6.183877993207178,187.0,14.0,173.0,2001-2024
48283,"La Salle, TX",Texas,5934.0,23950.11796427368,64.90365679563219,6679.0,598564.6054798623,698.6747877162923,633.7711309206601,10.764798506134571,1409.0,17.0,1392.0,2001-2024
48235,"Irion, TX",Texas,1673.0,77005.97728631202,208.6824594542081,1526.0,645245.0851900394,753.1625973084682,544.4801378542601,3.6091322638150967,51.0,15.0,36.0,2001-2024
38025,"Dunn, ND",North Dakota,3582.0,16453.657174762702,44.58861204344699,4031.0,479161.2503100968,559.3011711307128,514.7125590872657,12.543587824302124,2479.0,21.0,2458.0,2001-2024
48233,"Hutchinson, TX",Texas,23247.0,38586.14014711576,104.56656626544991,19721.0,517222.5546371888,603.7282446286811,499.16167836323115,5.773625989554564,370.0,19.0,351.0,2001-2024
48255,"Karnes, TX",Texas,15340.0,16216.492829204693,43.94590818239632,15137.0,464505.1859681575,542.1938738580122,498.2479656756159,12.337755579146322,2512.0,23.0,2489.0,2001-2024
48127,"Dimmit, TX",Texas,10030.0,15590.62811565304,42.24984519726,8181.0,445082.7527197164,519.5230304727613,477.2731852755013,12.296448141931975,2594.0,24.0,2570.0,2001-2024
38081,"Sargent, ND",North Dakota,4320.0,54158.333333333336,146.76645369903977,3710.0,480732.07547169813,561.1347174618417,414.3682637628019,3.8233172725731186,115.0,20.0,95.0,2001-2024
48475,"Ward, TX",Texas,10459.0,70149.82311884502,190.10261455795285,11038.0,477736.9994564233,557.6387137222141,367.53609916426126,2.9333563613467177,60.0,22.0,38.0,2001-2024
48227,"Howard, TX",Texas,33279.0,33973.70714264251,92.06709677800362,30833.0,324924.3667499108,379.2681038679996,287.201007089996,4.11947500400179,529.0,28.0,501.0,2001-2024
38053,"McKenzie, ND",North Dakota,5647.0,24198.689569683018,65.57727377700543,14782.0,294606.0073061832,343.87898604458485,278.30171226757943,5.243874382670136,1381.0,31.0,1350.0,2001-2024
40045,"Ellis, OK",Oklahoma,3923.0,31295.437165434618,84.8091151820028,3601.0,278554.8458761455,325.1432611085256,240.3341459265228,3.83382447052724,684.0,34.0,650.0,2001-2024
38061,"Mountrail, ND",North Dakota,6625.0,19757.132075471698,53.54086862558296,9474.0,240330.48342833016,280.5258579505026,226.98498932491964,5.2394715504570915,2020.0,48.0,1972.0,2001-2024
48495,"Winkler, TX",Texas,7056.0,61986.96145124717,167.9816557829567,7381.0,310085.21880503994,361.94710218270683,193.96544639975014,2.1546823103730217,80.0,30.0,50.0,2001-2024
48123,"DeWitt, TX",Texas,20066.0,23378.799960131564,63.355412744503994,20252.0,216895.8621370729,253.17178638331615,189.81637363881214,3.9960561444732834,1485.0,63.0,1422.0,2001-2024
48205,"Hartley, TX",Texas,5601.0,41382.07462953044,112.14341295741231,4996.0,249472.97838270618,291.19743903459465,179.05402607718236,2.5966521916466023,295.0,42.0,253.0,2001-2024
02016,"Aleutians West Census Area, AK",Alaska,5501.0,41428.649336484275,112.26962815184258,5424.0,248172.93510324485,289.67996296938117,177.41033481753857,2.5802166421856714,294.0,43.0,251.0,2001-2024
04011,"Greenlee, AZ",Arizona,8349.0,51319.91855312014,139.07448746265575,9410.0,268453.9851222104,313.3530271414674,174.27853967881165,2.2531309146518255,137.0,36.0,101.0,2001-2024
38007,"Billings, ND",North Dakota,877.0,27197.263397947547,73.7032632571557,1063.0,210716.83913452493,245.95931918248942,172.25605592533373,3.337156433960334,1022.0,66.0,956.0,2001-2024
48359,"Oldham, TX",Texas,2132.0,33909.47467166979,91.8930299004472,1823.0,221862.8634119583,258.9695207123198,167.07649081187262,2.818162824676429,539.0,60.0,479.0,2001-2024
