feature,importance_mae_reduction,importance_std
income_index_1969_1973,6.360807099172084,0.14804013006224961
bachelors_or_higher_pct,3.7165214466574428,0.1158044987647001
management_science_arts_occupation_pct,0.6921500171273685,0.046229217016437854
county_gdp_per_capita,0.6441294927282974,0.03180192096327097
unemployment_pct,0.6159852252077644,0.03880094950617001
government_share,0.5570728620261592,0.04347369810035031
median_age,0.5322969328458151,0.038413246567330826
median_home_value,0.5115179119524891,0.04575789488472555
median_household_income,0.38026241705552155,0.025848389244057735
resource_share,0.23242934258011352,0.023068472693210443
poverty_pct,0.21438462500374383,0.025335870083536625
leisure_amenity_share,0.16243200221732593,0.013105346260858896
knowledge_command_share,0.1587577437479919,0.018079524267936055
log_population_1969_1973,0.1287142145654963,0.018422750431386175
worked_from_home_pct,0.12391167030505423,0.014169555258732421
professional_scientific_industry_pct,0.08474887764906658,0.011067741795997578
trade_logistics_share,0.07847610490956299,0.008088368455423697
population_growth_pct,0.07666124369030536,0.007585390794908913
manufacturing_share,0.06983354177839814,0.009485876698786205
specialization_gap,0.05390907953740372,0.005837510158414261
high_school_or_higher_pct,0.05238561981014134,0.004701309797947369
moved_from_different_county_pct,0.04944858859246,0.003065188365708649
mean_commute_minutes,0.04654582168679187,0.004958156874758308
graduate_degree_pct,0.045037679201738,0.005223848201117656
foreign_born_pct,0.041015606595590406,0.003139036657309981
education_health_share,0.03312859175132443,0.003839483334577103
broadband_pct,0.02832382406228153,0.002001308222989962
state_name,0.009302526250683663,0.0008487976250873235
engine_label,0.00569218313747335,0.0010131514701208616
rucc_group,0.0044857772732755045,0.00062538084378415
