county_fips,bea_county_name,state_name,population_2024,bachelors_or_higher_pct,income_index_2020_2024,mobility_5yr_avg,county_gdp_per_capita,pcpi_2024,education_residual_after_controls,income_residual_after_controls
1001,"Autauga, AL",Alabama,61464.0,28.3,75.87929038839481,0.9946885680459304,40793.303533777515,55710.0,1.4972999860303666,-3.0568591544262205
1003,"Baldwin, AL",Alabama,261608.0,32.8,87.09187905660545,14.250672521217211,52992.844193461,63905.0,6.419766202937858,13.219155231929676
1009,"Blount, AL",Alabama,60163.0,15.6,65.7548323241535,1.2655208375249316,23441.897726506104,48543.0,-7.173726391725653,1.0524390023353192
1015,"Calhoun, AL",Alabama,116427.0,20.5,65.43687967594504,-10.492323829293184,51834.2790229118,47333.0,-7.327071067841253,-11.131286254132874
1031,"Coffee, AL",Alabama,56358.0,21.5,77.41819774990202,8.533724184916252,39299.5703564382,56824.0,-3.0994285074668433,7.447195344464973
1033,"Colbert, AL",Alabama,58785.0,20.3,67.58107841930618,-6.363540659042258,60329.79461559811,48831.0,-6.430247774484311,-8.27853670199211
1043,"Cullman, AL",Alabama,92604.0,19.1,72.7791948590698,11.885205411438749,45236.92476219219,53577.0,-2.5636395136087415,14.737127391046535
1045,"Dale, AL",Alabama,50067.0,19.3,67.3220874580658,-18.398864862044675,74727.80515388965,48767.0,-12.028070925615868,-24.456335906588606
1049,"DeKalb, AL",Alabama,73122.0,13.9,61.407940641510024,5.477151345423678,39253.551274567035,45152.0,-5.728955142591401,9.480791426267018
1051,"Elmore, AL",Alabama,91042.0,24.4,74.94112117870341,4.689140638829599,31995.015168773753,55485.0,-0.715718574435229,3.0135154011732794
1055,"Etowah, AL",Alabama,103207.0,17.5,65.62068023302443,-8.596442848160464,36840.235253081155,47787.0,-9.616823947978638,-8.889448778391696
1069,"Houston, AL",Alabama,109366.0,22.8,79.17943348889732,1.8164873783184277,72299.80116698256,57714.0,-5.338238321067454,-0.8510668607403886
1071,"Jackson, AL",Alabama,53780.0,15.6,66.17722586289305,-2.7568927944827664,39134.59755105131,48078.0,-9.074176660608254,-3.5214312349018826
1073,"Jefferson, AL",Alabama,664744.0,35.9,101.4046540274381,13.461549024462585,93857.68442867722,75312.0,2.5611024869853836,13.631763356852133
1077,"Lauderdale, AL",Alabama,97502.0,27.1,68.7011261524779,-5.505223803070791,38953.6706756316,49560.0,0.12332381345875376,-6.627920945957186
1081,"Lee, AL",Alabama,187847.0,41.3,69.57982432957556,0.4638074668548029,49853.908804872146,50811.0,16.371553039096185,0.7588323492053064
1083,"Limestone, AL",Alabama,118942.0,30.4,81.41326927590114,8.514164842185366,61704.06313617223,59614.0,4.157325733258823,6.480285571730292
1089,"Madison, AL",Alabama,423355.0,45.7,94.32680680533744,-5.358216305652775,92319.8333060546,69038.0,8.326017130135533,-12.68622803894148
1095,"Marshall, AL",Alabama,102156.0,21.3,70.31429574429852,-2.8687294299449775,50736.92154955831,51209.0,-5.178950579003779,-4.2334773735790066
1097,"Mobile, AL",Alabama,412339.0,25.2,73.20722320647745,1.7651119167024518,69478.38136130622,53901.0,-1.3804943660191462,5.8027099012644925
1101,"Montgomery, AL",Alabama,225894.0,34.3,77.41968069267237,-14.47622835275284,82547.73610567041,57265.0,0.009313054738306903,-19.323050218240567
1103,"Morgan, AL",Alabama,126084.0,23.2,71.90413706012956,-11.138691862839336,64642.82943543825,52318.0,-7.285671616333584,-15.008135470946755
1113,"Russell, AL",Alabama,58837.0,16.9,60.0430473145196,-12.017030777214316,36512.33477182371,43971.0,-9.04981072072804,-13.542917656866933
1115,"St. Clair, AL",Alabama,96927.0,19.9,73.3778756900555,9.017157968915695,31402.82875687545,54878.0,-2.848516658527682,9.0025715012043
1117,"Shelby, AL",Alabama,235969.0,46.2,101.61214682451036,25.946229825387164,73744.31495230332,74513.0,18.8950805448482,22.82873451836288
1121,"Talladega, AL",Alabama,81375.0,16.8,63.20470236248792,-2.4232483517842667,49156.215350498955,45757.0,-6.797463893029736,-0.7120474020462666
1125,"Tuscaloosa, AL",Alabama,241212.0,31.4,64.2401042803917,-7.503328408921192,59503.31145635714,46696.0,5.144270637391564,-6.284211554338384
1127,"Walker, AL",Alabama,65260.0,16.0,73.76180358824035,7.324093767242815,36994.76004068674,54820.0,-7.868580269712815,8.474321417525317
2020,"Anchorage Municipality, AK",Alaska,289600.0,37.7,114.27914815362831,-42.22511859927414,105603.1743286205,84370.0,-7.155873824143164,-11.103647018035872
2090,"Fairbanks North Star Borough, AK",Alaska,94951.0,33.7,101.55706306181864,-35.65464870555735,75390.90576108001,75191.0,-3.14129827476809,-0.703228822138982
2170,"Matanuska-Susitna Borough, AK",Alaska,117613.0,24.3,87.16603674004591,-41.33313140939438,37934.27722110285,63994.0,-8.307491956635214,-8.419172335440038
4001,"Apache, AZ",Arizona,64800.0,15.3,69.49418417595443,6.2635423907662755,44353.34957369062,48830.0,-2.3584277464920156,20.39310512211098
4003,"Cochise, AZ",Arizona,125773.0,27.7,76.89041252717846,-23.27172855337203,49642.74099698704,55303.0,-4.670256049298661,-20.338719936280995
4005,"Coconino, AZ",Arizona,145161.0,39.6,88.64930687538694,8.434547918132168,68629.43246475807,63794.0,15.120782352032872,17.75279159468802
4007,"Gila, AZ",Arizona,54073.0,18.8,76.64447777042558,5.531569388808876,43445.60716284275,57097.0,-1.8673869504851943,16.468416573413748
4013,"Maricopa, AZ",Arizona,4673096.0,35.9,96.84102159304176,-5.601479581481186,86691.46059416467,72176.0,1.4126858020894275,4.0507265869902085
4015,"Mohave, AZ",Arizona,226479.0,14.9,66.14054960200774,-25.836339819787895,39679.997240364275,48586.0,-13.895240290302974,-22.349342756648355
4017,"Navajo, AZ",Arizona,109516.0,17.6,64.70971676193464,7.359172480583737,35345.85684585685,46577.0,2.086685853140324,24.480779659931386
4019,"Pima, AZ",Arizona,1080149.0,35.9,83.1899596345929,-12.568022524797,60131.524734105624,60425.0,4.470911449151348,-3.313636020675432
4021,"Pinal, AZ",Arizona,513862.0,22.2,69.82494717153216,-8.456479958532455,32040.980011976342,50771.0,-1.661978785140434,2.3854259055161293
4023,"Santa Cruz, AZ",Arizona,50508.0,24.1,71.64362070392738,-14.3019606715975,56422.99155759298,50841.0,-2.042952937842532,-10.51733030543474
4025,"Yavapai, AZ",Arizona,252013.0,29.6,80.32477393259767,-11.966167158092162,46322.623895123645,60854.0,0.5229315379804618,-7.613478636337973
4027,"Yuma, AZ*",Arizona,220310.0,16.7,67.87808748688673,-22.72761893063509,51756.01993403472,47582.0,-11.917122574861114,-16.56804153100839
5007,"Benton, AR",Arkansas,321566.0,36.6,159.64259658826572,88.35579825277081,79861.25530910806,120594.0,9.146550367843762,79.55196924830076
5031,"Craighead, AR",Arkansas,115852.0,27.8,70.84051348627267,0.5643281998019347,61337.868096380815,50720.0,0.7361192178205975,-7.853325124747045
5033,"Crawford, AR",Arkansas,62258.0,19.3,63.25629263016408,2.873571576548727,36707.346361363336,45258.0,-3.5839095006145882,-4.009195792905629
5045,"Faulkner, AR",Arkansas,131611.0,33.2,73.06788322334529,2.2884081799267193,42998.9761986016,52556.0,6.1605178284283255,-7.660643684088484
5051,"Garland, AR",Arkansas,99902.0,26.2,74.14271272088318,-2.9670803353679673,45590.3839619436,53635.0,-3.5538609483762116,-13.654019048981823
5069,"Jefferson, AR",Arkansas,63672.0,20.6,62.81599336653932,-8.221162976432794,54262.009729401034,44232.0,-6.95778692588928,-15.699878321995357
5085,"Lonoke, AR",Arkansas,76389.0,21.0,74.66438604633788,-9.15553326313146,27271.10118131831,53746.0,-11.041501236484201,-24.23954589232271
5115,"Pope, AR",Arkansas,64829.0,24.6,63.17277177336879,-3.240931072639789,62420.068933103554,45559.0,-0.6947561061659826,-11.900749581415347
5119,"Pulaski, AR",Arkansas,401209.0,37.4,93.09930319102064,-1.3110031662533714,98787.90271438204,67740.0,0.15077252930461071,-13.541999906059146
5125,"Saline, AR",Arkansas,131252.0,28.5,78.14297890750402,3.7423293141085026,30910.87620502052,56086.0,-0.020980679104297906,-7.065518903918758
5131,"Sebastian, AR",Arkansas,130035.0,24.4,72.8348284370347,-9.053499038057067,69531.56141006478,51559.0,-7.3804589490997685,-20.43472596358849
5143,"Washington, AR",Arkansas,266184.0,34.6,75.10744999503922,5.969252357126095,66789.69916184593,54752.0,7.808258074238072,-0.9925291890353236
5145,"White, AR",Arkansas,79091.0,19.8,66.87498999877775,9.191208059009355,40060.54654693456,48191.0,-2.2187224056335175,4.4139029679556785
6001,"Alameda, CA",California,1649060.0,51.5,150.76071981411317,32.88234920998296,106344.32842660396,111268.0,13.930239688575476,29.153236547574465
6007,"Butte, CA",California,208334.0,31.7,84.0766954719621,-3.449107471197223,56641.203991024966,61191.0,7.02506391002122,-2.9040879713817986
6013,"Contra Costa, CA",California,1172607.0,44.9,146.92141483399817,19.598841486217182,81960.41699312416,108259.0,3.9333130779777363,10.767334419579555
6017,"El Dorado, CA",California,192823.0,38.8,122.44375275242705,9.08737140714466,57587.41855131852,89554.0,4.401224584554988,-1.6682376628542244
6019,"Fresno, CA",California,1024125.0,23.9,78.8365900577363,-17.049937986639065,59706.82269066306,57584.0,-4.657529632806909,-15.654867016934489
6023,"Humboldt, CA",California,132380.0,32.1,82.90937998138394,-15.487812023316494,52527.99480128196,62031.0,3.2025994278893926,-18.9020858840087
6025,"Imperial, CA",California,181724.0,16.1,72.75236562569995,-24.72627257940221,72090.15218688482,52117.0,-12.308843263750052,-28.614038707048422
6029,"Kern, CA",California,922529.0,18.6,70.66285741830755,-27.52272021413087,66101.06839273182,50641.0,-10.749786726836117,-27.582341350464844
6031,"Kings, CA",California,154913.0,13.9,66.3750981221165,-27.883757705603003,57129.032258064515,47718.0,-13.195873616140494,-30.98149065559629
6033,"Lake, CA",California,67764.0,17.7,71.37767106304675,-23.924494408533334,36435.82970105226,52606.0,-9.283343917608043,-30.57662327396055
6037,"Los Angeles, CA",California,9757179.0,35.5,113.6564507827542,-4.606491044744132,97093.00063380816,83888.0,-3.0590381007266956,-3.3260352518685323
6039,"Madera, CA",California,165432.0,17.1,71.03689070222424,-23.255725859326205,50898.05403362932,51225.0,-9.806639113006046,-27.60637892501157
6041,"Marin, CA",California,256400.0,60.5,254.99040715863188,102.01206642327664,137095.29109423608,190891.0,9.952303047332279,81.48417267075166
6045,"Mendocino, CA",California,89175.0,24.9,85.50686500517025,-8.49963182713465,48970.00297655139,62438.0,-1.9846430368113275,-12.199590839146438
6047,"Merced, CA",California,296774.0,14.8,71.13109366745147,-26.444263919588536,42582.404577078894,51481.0,-13.80491876719152,-29.39540613788718
