group,counties,avg_residual,bachelors_or_higher_pct,graduate_degree_pct,management_science_arts_occupation_pct,worked_from_home_pct,broadband_pct,poverty_pct,county_gdp_per_capita
overperformers,50,23.067991323760083,40.81199999999999,16.110000000000003,43.91400000000001,14.687999999999999,91.06999999999998,10.064,99014.21273927584
underperformers,50,-16.11708375606524,40.891999999999996,17.215999999999998,45.3,15.288000000000002,91.57799999999999,10.998000000000001,87254.5013047303
middle,98,-0.5895271730057413,28.77755102040816,10.902040816326531,37.384693877551015,10.36326530612245,88.1765306122449,13.314285714285717,60026.38449081582
