county_fips,bea_county_name,state_name,population_2024,income_index_1969_1973,income_index_2020_2024,mobility_5yr_avg,predicted_mobility,residual_mobility,rank_gain,graduate_degree_pct,bachelors_or_higher_pct,management_science_arts_occupation_pct,worked_from_home_pct,broadband_pct,poverty_pct,county_gdp_per_capita,rucc_group,metro_status,engine_label,engine_share,knowledge_command_share,resource_share,manufacturing_share,trade_logistics_share,education_health_share,leisure_amenity_share,government_share,specialization_gap
12087,"Monroe, FL",Florida,80908.0,100.97845979551597,182.31990211316455,81.34144231764857,19.151626416931602,62.189815900716965,207.0,15.1,37.8,34.3,11.2,88.0,10.4,95652.61485826,"Nonmetro urban, adjacent",Nonmetro,Knowledge / command,39.48796759293414,39.48796759293414,0.2372157171969957,0.9326947858770958,12.570049716256133,3.803583422038223,22.08581683071083,13.581764510315478,17.692614465758638
05007,"Benton, AR",Arkansas,321566.0,71.28679833549491,159.64259658826572,88.35579825277081,28.647608820609403,59.708189432161404,855.0,12.7,36.6,42.0,14.6,93.0,7.6,79861.25530910806,"Metro, 250k-1M",Metro,Knowledge / command,47.77667810396331,47.77667810396331,1.7324474854080785,6.169319376164576,24.06812404642147,5.185913197574716,3.208234241163252,4.142034528226728,20.323145968691943
48329,"Midland, TX",Texas,183587.0,113.75658928476787,197.48945711089328,83.73286782612541,25.51221143070098,58.220656395424434,72.0,9.8,30.9,40.1,5.4,89.5,10.6,235757.10220646547,"Metro, <250k",Metro,Resource extraction,59.83398528088735,16.413069907336784,59.83398528088735,3.0043229805579723,9.750465005750865,1.7914328800982446,1.928969351621273,2.7867538672896046,58.42421061202551
06041,"Marin, CA",California,256400.0,152.97834073535523,254.99040715863188,102.01206642327665,44.831012234379884,57.181054188896766,6.0,27.2,60.5,56.8,27.9,95.1,7.8,137095.29109423608,"Metro, 1M+",Metro,Knowledge / command,40.82164044262717,40.82164044262717,0.4027450242974972,22.928094657806746,9.133017977353088,8.14360826177314,5.613168215091122,6.559673019643405,13.095605335066669
06081,"San Mateo, CA",California,742893.0,143.51155747191328,248.58789369427313,105.07633622235986,57.59236003554094,47.483976186818914,8.0,23.9,53.1,55.0,21.9,95.2,6.5,262077.67950610656,"Metro, 1M+",Metro,Knowledge / command,67.31852593037158,67.31852593037158,0.0949618158890355,12.445083640484086,8.966649336901718,3.8906567985216545,1.846010257759833,2.4734616873788124,32.826586444541135
08037,"Eagle, CO",Colorado,54330.0,91.4032536864393,172.17787698782246,80.77462330138316,35.02122970666851,45.75339359471465,434.0,16.4,50.3,42.7,11.3,95.1,8.3,117211.12796619353,"Nonmetro urban, remote",Nonmetro,Knowledge / command,43.184616045652746,43.184616045652746,0.2042394721869527,0.96614714527576,9.204142290821435,9.967693684335892,19.26296152857925,5.823240072865838,14.86975916362706
47187,"Williamson, TN",Tennessee,269136.0,90.60997915424494,181.5054136529631,90.89543449871817,47.355759087636905,43.53967541108127,457.0,23.5,61.8,57.9,25.8,95.5,4.5,146051.5339206391,"Metro, 1M+",Metro,Knowledge / command,52.055464266921206,52.055464266921206,0.0796994651388081,2.57850103317369,14.348621924450146,11.733187936310989,6.646588267673429,4.385495048080152,7.976034514867482
12131,"Walton, FL",Florida,89666.0,64.00739547216779,128.51001489467913,64.50261942251134,22.89033414464955,41.612285277861794,888.0,11.6,34.2,34.9,14.8,90.4,11.4,73868.48433233975,"Metro, 250k-1M",Metro,Knowledge / command,46.310314727591646,46.310314727591646,1.7221304603477507,1.7023801877706624,11.344012269429175,4.644750914072163,10.911123617889144,7.464576642021332,11.862779127530713
12061,"Indian River, FL",Florida,172139.0,101.56404645814807,153.46374191185458,51.899695453706514,13.840242158883427,38.059453294823086,183.0,13.2,33.4,37.9,11.8,88.4,11.4,63947.008348794065,"Metro, <250k",Metro,Knowledge / command,42.53008409504169,42.53008409504169,1.2379856860342977,6.840471933676628,19.616153507750152,10.136401795352294,5.2067601717589795,5.375547462469645,9.42372657978413
36061,"New York, NY",New York,1660664.0,199.59967014513776,295.7153451864604,96.11567504132265,58.62385776692047,37.49181727440217,0.0,31.0,64.0,65.0,23.0,91.1,15.8,574807.9774516092,"Metro, 1M+",Metro,Knowledge / command,76.66314729560423,76.66314729560423,0.0043757992458166,0.4576333035907791,5.9827407411592075,5.58905658959312,4.80421671366194,3.9144623571343393,21.702793191277284
12021,"Collier, FL",Florida,416233.0,126.17820837007814,196.57765294817287,70.39944457809473,33.41855623363792,36.98088834445681,27.0,16.4,39.5,37.4,14.3,91.7,10.5,85199.23854921959,"Metro, 250k-1M",Metro,Knowledge / command,49.445829311020546,49.445829311020546,0.8381323208067794,3.726957438477013,13.753079153378032,7.758081969447414,8.06923414471445,5.061166457266636,15.057533892355044
06085,"Santa Clara, CA",California,1926325.0,119.86774646246147,214.73797549062246,94.87022902816099,58.849692376303196,36.020536651857796,42.0,27.7,55.9,58.6,21.9,95.1,6.9,212515.36045083872,"Metro, 1M+",Metro,Knowledge / command,59.22105001668011,59.22105001668011,0.1346888236457606,16.802448538399414,7.432155323972076,6.313008485584266,2.0508641901507674,3.95803967002155,17.952832668966725
28089,"Madison, MS",Mississippi,114247.0,60.181175913017015,121.05710067286311,60.8759247598461,25.0470108682406,35.828913891605495,899.0,20.5,48.9,46.8,8.1,92.2,11.0,84276.50199903901,"Metro, 250k-1M",Metro,Knowledge / command,44.48836538242009,44.48836538242009,0.7401273689320906,11.384934724905817,20.326940211793417,7.275099614155756,4.32505016538409,4.83722940840602,5.170971093377366
40147,"Washington, OK",Oklahoma,54060.0,110.63670132500995,145.6008281573025,34.964126832292536,0.5780621077717701,34.386064724520764,71.0,10.2,30.5,38.9,6.6,85.6,14.6,77619.85064750921,"Nonmetro urban, adjacent",Nonmetro,Trade / logistics,45.98027047757998,19.062008859004607,10.042688316446917,9.085946700742758,45.98027047757998,4.281664431188304,2.870412643988038,4.65834323092422,35.49213691127836
12085,"Martin, FL",Florida,165666.0,113.07996086402588,165.8028338258871,52.72287296186121,21.877945307166463,30.84492765469475,71.0,13.1,36.6,38.4,13.8,91.0,11.4,74716.8523781035,"Metro, 250k-1M",Metro,Knowledge / command,38.673232927289035,38.673232927289035,0.823596612108527,5.839782049115326,14.875684143471872,12.59981019487526,6.07487714668296,5.8255466647599485,3.916060890784229
48259,"Kendall, TX",Texas,51828.0,107.14281027719396,158.43961939056493,51.29680911337097,25.780099159954045,25.516709953416925,113.0,17.6,49.1,49.3,20.9,93.2,5.1,70352.23861531583,"Metro, 1M+",Metro,Knowledge / command,38.08524806262125,38.08524806262125,1.106398134589926,6.9171188066449005,21.115503220187925,7.166574370090021,4.3283130790477715,7.423391010200188,9.93600061538218
06075,"San Francisco, CA",California,827526.0,153.36772106811742,235.45884888111254,82.09112781299513,56.62595327776955,25.46517453522558,3.0,25.1,60.1,63.4,27.5,92.3,10.6,309447.60086139175,"Metro, 1M+",Metro,Knowledge / command,66.8550499455948,66.8550499455948,0.0080936409473936,1.7766758702188308,11.283753048699792,4.267787269524565,3.687442616003691,8.494762344323007,15.302272299833042
12099,"Palm Beach, FL",Florida,1582055.0,117.18335491155833,165.69713957413722,48.5137846625789,27.393797861329617,21.119986801249283,45.0,15.6,39.6,40.8,13.8,90.1,11.1,88562.61521918097,"Metro, 1M+",Metro,Knowledge / command,50.144685914232824,50.144685914232824,0.869002993685738,3.577260514571185,14.62809595025057,8.729987026151887,5.473851493458666,6.540377392438017,8.80609202650589
18011,"Boone, IN",Indiana,78773.0,98.05897812842566,136.20385066362397,38.1448725351983,17.666974994557158,20.477897540641145,215.0,20.1,50.5,52.9,18.7,92.7,5.1,82228.23952654922,"Metro, 1M+",Metro,Trade / logistics,23.331647009874036,12.047757054643744,0.0699273217461494,7.787898144399607,23.331647009874036,4.044868264037083,3.717454321115494,6.997816096757954,12.792100107279172
12119,"Sumter, FL",Florida,154693.0,62.91438344689775,102.49553866166139,39.58115521476363,19.47722104570333,20.103934169060302,773.0,13.8,35.1,34.1,13.3,90.6,9.1,49834.625116333176,"Metro, <250k",Metro,Knowledge / command,42.30519537649555,42.30519537649555,0.7056021233817411,9.37609520607834,8.7503501021167,10.395873048507315,4.071212986582406,10.680175150945775,12.769554549521846
