state_name,counties,population_2024,pop_weighted_mobility,median_mobility,p25_mobility,p75_mobility,min_mobility,max_mobility,within_state_sd
Massachusetts,12,7100440.0,22.02572016212928,9.854174615994715,3.9456502225603565,28.46917171119706,-4.040348521131591,40.761671078245314,15.563375810448568
New Hampshire,8,1333926.0,18.593465521121043,13.050016005197826,10.970926729662807,19.59022424599169,1.6854323056232516,38.02755991276169,11.055505348247996
District of Columbia,1,702250.0,18.18653209906509,18.18653209906509,18.18653209906509,18.18653209906509,18.18653209906509,18.18653209906509,
South Dakota,3,399862.0,15.4024893687683,14.959522911068419,12.1175253844768,20.5171056816676,9.27552785788518,26.074688452266784,8.54465233785318
Arkansas,13,1943850.0,14.575255125913426,0.5643281998019347,-3.240931072639789,3.7423293141085026,-9.15553326313146,88.35579825277081,25.378086716394925
Washington,21,7519688.0,12.937686928060758,-10.761775828083358,-15.03504762547577,-3.8944447527784263,-24.247575285146155,54.036250005359975,16.08712206693158
Vermont,5,399656.0,11.638843896227817,8.152861655754037,4.368235829160071,16.466762366116313,1.7870577119009994,16.936674865746454,6.918638244206458
Tennessee,33,5769150.0,11.595440488257108,5.901923679489698,-2.437075092217583,12.435355365230123,-18.488276344684877,90.89543449871817,18.32647464692824
Montana,6,695292.0,9.361737655630886,7.0215294707090266,-9.906217189264158,12.39734488461141,-16.546934315913447,44.338199828704404,22.200669464384447
Louisiana,21,3611182.0,9.17080949377789,7.513113507207592,4.9864227283465254,15.35410144057294,-2.8345297781681893,28.501080760929355,8.107653072214566
Colorado,15,5294330.0,8.17231772606663,4.337381518994633,-8.719809139766944,24.674535855081295,-13.420821344547164,80.77462330138316,26.455937850737712
Maine,9,1169624.0,7.4921152064610395,0.6332948108144478,-4.295854678588981,11.02896650231061,-8.288699111451706,21.944449198943005,9.86650978269102
Minnesota,18,4383210.0,6.214672599542681,3.354742515554463,-1.133411127070353,13.081861193407324,-14.717791135450724,33.76669119080657,12.15892715119666
Utah,9,3186070.0,5.668574874922018,2.3161194429972056,-13.923873499824396,8.136133846787232,-17.103902440237448,15.081959766200427,12.206792200012014
