rucc_group,rucc_2023,metro_status,counties,population_2024,pop_weighted_mobility,median_mobility,p25_mobility,p75_mobility,top_100_mobility_count,avg_bachelors,avg_current_income_index
"Metro, 1M+",1,Metro,320,187806658.0,2.998471647687336,1.3219595630062955,-9.511713771672643,12.19216373373115,58,39.77013947343656,111.50054719933692
"Metro, 250k-1M",2,Metro,239,64186192.0,-3.603201654969949,-4.512715018311269,-11.821097601786661,4.62662419916871,22,32.79260115633593,89.29110973419036
"Metro, <250k",3,Metro,204,26336857.0,-4.023222014483625,-4.071389062337438,-13.444279714532904,3.014219042875336,8,30.098214509802744,84.32416024943994
"Nonmetro urban, adjacent",4,Nonmetro,136,10711065.0,-2.8470712299278556,-4.1185102517096865,-11.066126782756182,4.368241028958131,7,24.27071350981438,78.09111044901084
"Nonmetro urban, remote",5,Nonmetro,36,2641845.0,-2.7589732177649813,-2.729954954724704,-8.406979028853794,5.8531919542727024,3,27.528766638466678,81.74283365613788
"Nonmetro town, adjacent",6,Nonmetro,37,2160630.0,-1.1751514648216648,-2.7487226884802993,-8.88538080259599,6.096880120637664,2,22.57069192781735,77.17808535689406
"Nonmetro town, remote",7,Nonmetro,6,360137.0,3.1782380076937713,5.000624550548622,0.20704368169012355,7.522899559799821,0,27.021625936796276,80.94203396702223
"Nonmetro rural, adjacent",8,Nonmetro,4,237589.0,5.606405613237502,8.163293480516892,3.403172081188064,10.864929378624584,0,22.29349212295182,78.26597619000552
